id,flight_id,timestamp,event_type,source,message
78,10,2025-10-21 17:14:02,error,gps,SATS: 0
79,10,2025-10-21 17:14:05,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
80,10,2025-10-21 17:14:05,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
81,10,2025-10-21 17:14:05,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
82,10,2025-10-21 17:14:05,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
83,10,2025-10-21 17:14:05,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
84,10,2025-10-21 17:14:05,error,gps,SATS: 0
85,10,2025-10-21 17:14:08,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
86,10,2025-10-21 17:14:08,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
87,10,2025-10-21 17:14:08,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
88,10,2025-10-21 17:14:08,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
89,10,2025-10-21 17:14:08,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
90,10,2025-10-21 17:14:08,error,gps,SATS: 0
91,10,2025-10-21 17:14:11,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
92,10,2025-10-21 17:14:11,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
93,10,2025-10-21 17:14:11,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
94,10,2025-10-21 17:14:11,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
95,10,2025-10-21 17:14:11,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
96,10,2025-10-21 17:14:11,error,gps,SATS: 0
97,10,2025-10-21 17:14:14,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
98,10,2025-10-21 17:14:14,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
99,10,2025-10-21 17:14:14,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
100,10,2025-10-21 17:14:14,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
101,10,2025-10-21 17:14:14,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
102,10,2025-10-21 17:14:14,error,gps,SATS: 0
